,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",26.003817010760958,19.637422335659963,29.319744999821456,21.02278478926499
"[40.0, 0.0, 80.0, 40.0]",27.627172177360855,20.585954892432834,32.63304999998133,18.750511549977922
"[40.0, 40.0, 80.0, 80.0]",2.24930246656,35.79682619002358,23.214684672451536,20.249581377832406
"[80.0, 40.0, 120.0, 80.0]",35.2955826730448,21.59273487702894,40.404999999999816,27.665351683305506
"[120.0, 40.0, 160.0, 80.0]",36.926597291914746,44.94999999999999,30.756507439383103,35.11140803615754
"[120.0, 80.0, 160.0, 120.0]",35.168511988723694,49.99999999999999,28.755063893647375,28.735966907690596
"[120.0, 120.0, 160.0, 160.0]",0.0,0.0,0.0,0.0
"[0.0, 40.0, 40.0, 80.0]",9.757376802240305,2.3546127091466253,29.070256697034363,-0.10280440832000001
"[40.0, 80.0, 80.0, 120.0]",-0.050432000000000005,40.31087084818196,25.38357802168943,-0.039200000000000006
"[40.0, 120.0, 80.0, 160.0]",22.142220234909967,16.09668610074692,44.92641960614082,16.09668610074692
"[80.0, 120.0, 120.0, 160.0]",7.16,17.978903152467986,49.998171920779974,0.0
"[80.0, 0.0, 120.0, 40.0]",28.819154034661288,36.314499999997174,-8.704,25.51976335231241
"[120.0, 0.0, 160.0, 40.0]",0.0,0.0,0.0,0.0
